,pu,do,count
946,170,261,110
947,186,4,238
948,186,12,10
949,186,13,201
950,186,45,94
951,186,48,1451
952,186,50,578
953,186,68,960
954,186,79,1095
955,186,87,227
956,186,88,84
957,186,90,575
958,186,100,474
959,186,107,1146
960,186,113,691
961,186,114,486
962,186,125,214
963,186,137,610
964,186,144,449
965,186,148,490
966,186,158,588
967,186,161,1290
968,186,162,967
969,186,163,883
970,186,164,578
971,186,170,1297
973,186,209,94
974,186,211,329
975,186,224,225
976,186,229,462
977,186,230,1760
978,186,231,484
979,186,232,192
980,186,233,558
981,186,234,1245
982,186,246,1144
983,186,249,787
984,186,261,179
985,209,4,80
986,209,12,4
987,209,13,93
988,209,45,112
989,209,48,91
990,209,50,36
991,209,68,72
992,209,79,254
993,209,87,122
994,209,88,67
995,209,90,42
996,209,100,53
997,209,107,94
998,209,113,85
999,209,114,103
1000,209,125,37
1001,209,137,75
1002,209,144,157
1003,209,148,224
1004,209,158,69
1005,209,161,80
1006,209,162,54
1007,209,163,33
1008,209,164,68
1009,209,170,58
1010,209,186,63
1012,209,211,118
1013,209,224,48
1014,209,229,83
1015,209,230,118
1016,209,231,242
1017,209,232,218
1018,209,233,69
1019,209,234,97
1020,209,246,94
1021,209,249,124
1022,209,261,66
1023,211,4,173
1024,211,12,6
1025,211,13,315
1026,211,45,142
1027,211,48,317
1028,211,50,156
1029,211,68,535
1030,211,79,1102
1031,211,87,340
1032,211,88,74
1033,211,90,473
1034,211,100,232
1035,211,107,470
1036,211,113,587
1037,211,114,348
1038,211,125,164
1039,211,137,184
1040,211,144,432
1041,211,148,648
1042,211,158,670
1043,211,161,407
1044,211,162,203
1045,211,163,264
1046,211,164,541
1047,211,170,365
1048,211,186,384
1049,211,209,139
1051,211,224,115
1052,211,229,157
1053,211,230,418
1054,211,231,818
1055,211,232,212
1056,211,233,175
1057,211,234,798
1058,211,246,488
1059,211,249,821
1060,211,261,196
1061,224,4,81
1062,224,13,25
1063,224,45,29
1064,224,48,81
1065,224,50,34
1066,224,68,110
1067,224,79,299
1068,224,87,50
1069,224,88,21
1070,224,90,100
1071,224,100,76
1072,224,107,241
1073,224,113,183
1074,224,114,207
1075,224,125,31
1076,224,137,153
1077,224,144,97
1078,224,148,131
1079,224,158,46
1080,224,161,118
1081,224,162,114
1082,224,163,46
1083,224,164,180
1084,224,170,176
1085,224,186,184
1086,224,209,41
1087,224,211,72
1089,224,229,56
1090,224,230,75
1091,224,231,83
1092,224,232,108
1093,224,233,88
1094,224,234,239
1095,224,246,71
1096,224,249,118
1097,224,261,20
1098,229,4,148
1099,229,12,4
1100,229,13,104
1101,229,45,41
1102,229,48,471
1103,229,50,164
1104,229,68,224
1105,229,79,764
1106,229,87,160
1107,229,88,41
1108,229,90,192
1109,229,100,318
1110,229,107,784
1111,229,113,306
1112,229,114,210
1113,229,125,42
1114,229,137,860
1115,229,144,160
1116,229,148,250
1117,229,158,155
1118,229,161,1090
1119,229,162,881
1120,229,163,566
1121,229,164,542
1122,229,170,916
1123,229,186,479
1124,229,209,68
1125,229,211,124
1126,229,224,244
1128,229,230,716
1129,229,231,244
1130,229,232,177
1131,229,233,866
1132,229,234,665
1133,229,246,266
1134,229,249,277
1135,229,261,42
1136,230,4,92
1137,230,12,5
1138,230,13,297
1139,230,45,76
1140,230,48,1704
1141,230,50,1056
1142,230,68,1079
1143,230,79,551
1144,230,87,203
1145,230,88,97
1146,230,90,482
1147,230,100,1303
1148,230,107,610
1149,230,113,402
1150,230,114,349
1151,230,125,161
1152,230,137,361
1153,230,144,343
1154,230,148,287
1155,230,158,498
1156,230,161,1624
1157,230,162,1124
1158,230,163,1493
1159,230,164,1186
1160,230,170,1051
1161,230,186,2110
1162,230,209,83
1163,230,211,248
1164,230,224,115
1165,230,229,858
1167,230,231,493
1168,230,232,90
1169,230,233,652
1170,230,234,1086
1171,230,246,1564
1172,230,249,575
1173,230,261,135
1174,231,4,315
1175,231,12,19
1176,231,13,1256
1177,231,45,364
1178,231,48,635
1179,231,50,376
1180,231,68,898
1181,231,79,1291
1182,231,87,1053
1183,231,88,272
1184,231,90,644
1185,231,100,306
1186,231,107,670
1187,231,113,895
1188,231,114,894
1189,231,125,480
1190,231,137,315
1191,231,144,967
1192,231,148,932
1193,231,158,1258
1194,231,161,502
1195,231,162,370
1196,231,163,288
1197,231,164,505
1198,231,170,506
1199,231,186,503
1200,231,209,392
1201,231,211,914
1202,231,224,198
1203,231,229,238
1204,231,230,626
1206,231,232,541
1207,231,233,336
1208,231,234,1090
1209,231,246,1185
1210,231,249,1308
1211,231,261,558
1212,232,4,228
1213,232,12,2
1214,232,13,87
1215,232,45,148
1216,232,48,83
1217,232,50,32
1218,232,68,98
1219,232,79,565
1220,232,87,161
1221,232,88,71
1222,232,90,57
1223,232,100,65
1224,232,107,235
1225,232,113,204
1226,232,114,184
1227,232,125,31
1228,232,137,156
1229,232,144,206
1230,232,148,314
1231,232,158,86
1232,232,161,57
1233,232,162,83
1234,232,163,37
1235,232,164,97
1236,232,170,96
1237,232,186,93
1238,232,209,102
1239,232,211,117
1240,232,224,85
1241,232,229,66
1242,232,230,91
1243,232,231,235
1245,232,233,70
1246,232,234,181
1247,232,246,65
1248,232,249,123
1249,232,261,100
1250,233,4,226
1251,233,12,5
1252,233,13,121
1253,233,45,49
1254,233,48,642
1255,233,50,178
1256,233,68,360
1257,233,79,1116
1258,233,87,157
1259,233,88,70
1260,233,90,264
1261,233,100,512
1262,233,107,971
1263,233,113,434
1264,233,114,336
1265,233,125,46
1266,233,137,808
1267,233,144,224
1268,233,148,378
1269,233,158,181
1270,233,161,978
1271,233,162,592
1272,233,163,482
1273,233,164,837
1274,233,170,706
1275,233,186,758
1276,233,209,85
1277,233,211,176
1278,233,224,328
1279,233,229,781
1280,233,230,759
1281,233,231,272
1282,233,232,236
1284,233,234,897
1285,233,246,313
1286,233,249,285
1287,233,261,82
1288,234,4,615
1289,234,12,5
1290,234,13,449
1291,234,45,163
1292,234,48,1401
1293,234,50,563
1294,234,68,2304
1295,234,79,2869
1296,234,87,465
1297,234,88,101
1298,234,90,1080
1299,234,100,1011
1300,234,107,1284
1301,234,113,1606
1302,234,114,1642
1303,234,125,572
1304,234,137,1015
1305,234,144,930
1306,234,148,1202
1307,234,158,1407
1308,234,161,1678
1309,234,162,974
1310,234,163,721
1311,234,164,1463
1312,234,170,3030
1313,234,186,2089
1314,234,209,173
1315,234,211,1110
1316,234,224,523
1317,234,229,829
1318,234,230,1312
1319,234,231,1366
1320,234,232,524
1321,234,233,842
1323,234,246,1917
1324,234,249,2329
1325,234,261,183
1326,246,4,197
1327,246,12,18
1328,246,13,706
1329,246,45,90
1330,246,48,2416
1331,246,50,818
1332,246,68,1641
1333,246,79,1053
1334,246,87,337
1335,246,88,106
1336,246,90,1240
1337,246,100,893
1338,246,107,817
1339,246,113,1020
1340,246,114,640
1341,246,125,272
1342,246,137,337
1343,246,144,614
1344,246,148,520
1345,246,158,1125
1346,246,161,931
1347,246,162,669
1348,246,163,716
1349,246,164,1170
1350,246,170,827
1351,246,186,1227
1352,246,209,122
1353,246,211,585
1354,246,224,128
1355,246,229,300
1356,246,230,1344
1357,246,231,1410
1358,246,232,148
1359,246,233,274
1360,246,234,1929
1362,246,249,1488
1363,246,261,172
1364,249,4,229
1365,249,12,5
1366,249,13,266
1367,249,45,119
1368,249,48,427
1369,249,50,165
1370,249,68,1024
1371,249,79,1372
1372,249,87,196
1373,249,88,49
1374,249,90,825
1375,249,100,235
1376,249,107,753
1377,249,113,900
1378,249,114,674
1379,249,125,312
1380,249,137,257
1381,249,144,646
1382,249,148,526
1383,249,158,752
1384,249,161,339
1385,249,162,236
1386,249,163,223
1387,249,164,474
1388,249,170,431
1389,249,186,646
1390,249,209,88
1391,249,211,626
1392,249,224,127
1393,249,229,124
1394,249,230,372
1395,249,231,836
1396,249,232,202
1397,249,233,128
1398,249,234,1274
1399,249,246,781
